Dataset Atlas Type Value
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.792277412379348
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8445302302713847
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8756365747478111
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8251852777045895
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8108615735581086
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8284384443823217
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8837883581445942
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8534438095722666
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8288153365172095
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8435274219223655
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8227823536149204
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8518508552837927
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8434525350813475
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9155629583906313
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.881311741091035
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8568033695573205
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8532113042924617
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8853775444984394
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8457398465558151
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8924554915017787
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8783092375047197
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9010130755200765
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8452127619675651
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8978937782555195
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8776059335487989
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9085634519977966
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8427403878413742
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8808472729226576
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8606479496155421
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8899783878027725
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7593287941371456
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8900834731612725
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8530029512390744
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8307456232404185
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9105225329616745
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8567340631287034
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8660896443556858
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7151346407270877
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.873493551526074
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8590895706260584
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8680354504074336
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8579285966929978
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7512160884010248
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9220131999075493
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7268187675785622
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8547398196637502
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8927159517027423
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9173651779078119
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8931076661547579
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7619692990112875
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7302696730411771
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8343226646841436
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7850467404164941
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9015911315641825
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.839548022428831
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8236174364410003
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7946420667785173
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8637186641913519
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8600924566367224
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9283402733339495
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8440180347149749
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8658525327405874
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8648571924445687
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9233779389414127
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8767381518664743
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7099890554488052
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8804904555765182
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8783933735355663
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.767200275558187
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8988899518750869
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8767785239420645
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.86516183447987
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7862009537692944
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9274205522886753
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9188647575373263
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9398691650109599
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8419548993226228
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.89075108519062
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8893954236653685
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9116734808966587
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8536490333326853
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8815453708084479
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9169703761336462
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7132038193202739
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.903592893472996
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8367555421754673
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.6591033985003121
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9101456518775916
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7831669974865969
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9302027572184017
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8981259988056036
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8392934290962348
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9239901262604168
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9139524891804527
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7386571899073168
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8977701610885117
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8416422194272765
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.842909547965794
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8718927406572523
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8631645676691144
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.819228568692114
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8342556366092676
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8409167873757274
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8552937658755104
